0 fg/mL S1,0.1 fg/mL S1,1 fg/mL S1,10 fg/mL S1,50 fg/mL S1,100 fg/mL S1
2.9702682152754066e-07,2.2728982357572156e-07,1.3728854301782514e-07,3.083233899843314e-09,4.987239470913642e-09,6.5185992048948164e-09
2.318159192178326e-07,1.41090567010017e-07,8.800484002694523e-08,5.406291288451794e-08,2.853868451075971e-08,1.6042991574372764e-08
1.4402620341167733e-07,1.0855818376337003e-07,4.7798677418820764e-08,1.6328712230629665e-08,2.635488690006459e-09,2.964074775276455e-09
